VA_EXERCICIO;COD_IBGE;NO_ESTADO;SG_ESTADO;SG_DIMENSAO;NO_VERIFICACAO;PONTUACAO
2019;21;Maranhão;MA;DII;D2_00015;1
2019;21;Maranhão;MA;DII;D2_00011;1
2019;21;Maranhão;MA;DII;D2_00012;0
2019;21;Maranhão;MA;DII;D2_00013;1
2019;21;Maranhão;MA;DII;D2_00014;1
2019;21;Maranhão;MA;DII;D2_00007;1
2019;21;Maranhão;MA;DII;D2_00008;1
2019;21;Maranhão;MA;DII;D2_00010;1
2019;21;Maranhão;MA;DII;D2_00004;1
2019;21;Maranhão;MA;DII;D2_00005;1
2019;21;Maranhão;MA;DII;D2_00006;1
2019;21;Maranhão;MA;DIII;D3_00013;1
2019;21;Maranhão;MA;DIII;D3_00012;1
2019;21;Maranhão;MA;DII;D2_00002;1
2019;21;Maranhão;MA;DII;D2_00003;1
2019;21;Maranhão;MA;DIII;D3_00009;0
2019;21;Maranhão;MA;DIII;D3_00010;0
2019;21;Maranhão;MA;DIII;D3_00011;0
2019;21;Maranhão;MA;DIII;D3_00006;1
2019;21;Maranhão;MA;DIII;D3_00007;1
2019;21;Maranhão;MA;DIII;D3_00008;0
2019;21;Maranhão;MA;DIII;D3_00005;1
2019;21;Maranhão;MA;DIII;D3_00003;1
2019;21;Maranhão;MA;DIII;D3_00001;0
2019;21;Maranhão;MA;DIII;D3_00002;1
2019;21;Maranhão;MA;DIV;D4_00015;0
2019;21;Maranhão;MA;DIV;D4_00013;1
2019;21;Maranhão;MA;DIV;D4_00011;0
2019;21;Maranhão;MA;DIV;D4_00009;1
2019;21;Maranhão;MA;DIV;D4_00008;0
2019;21;Maranhão;MA;DIV;D4_00007;0
2019;21;Maranhão;MA;DIV;D4_00003;0
2019;21;Maranhão;MA;DIV;D4_00004;0
2019;22;Piauí;PI;DIV;D4_00005;0
2019;22;Piauí;PI;DIV;D4_00006;1
2019;22;Piauí;PI;DIV;D4_00002;1
2019;22;Piauí;PI;DIV;D4_00001;1
2019;22;Piauí;PI;DI;D1_00014;1
